N,true_gain,selected_true
166,-0.1295349437580801,0.44164736242371455
167,-0.12961005390772012,0.44157225227407454
168,-0.12968293050770902,0.44149937567408565
169,-0.12975363987803512,0.44142866630375954
170,-0.12982224637429912,0.44136005980749554
171,-0.12988881244564587,0.4412934937361488
172,-0.1299533986910021,0.4412289074907926
173,-0.13001606391366777,0.4411662422681269
174,-0.13007686517430972,0.44110544100748494
175,-0.13013585784240256,0.4410464483393921
176,-0.13019309564616344,0.4409892105356312
177,-0.1302486307210211,0.44093367546077356
178,-0.130302513656665,0.44087979252512965
179,-0.13035479354271262,0.44082751263908204
180,-0.13040551801303807,0.4407767881687566
181,-0.13045473328879675,0.4407275728929979
182,-0.13050248422018823,0.44067982196160643
183,-0.13054881432699078,0.4406334918548039
184,-0.1305937658379046,0.44058854034389006
185,-0.13063737972873812,0.44054492645305654
186,-0.13067969575947136,0.4405026104223233
187,-0.1307207525102279,0.44046155367156675
188,-0.13076058741618907,0.4404217187656056
189,-0.13079923680147915,0.4403830693803155
190,-0.13083673591205358,0.4403455702697411
191,-0.13087311894761733,0.44030918723417733
192,-0.13090841909260342,0.44027388708919124
193,-0.13094266854623815,0.4402396376355565
194,-0.1309758985517196,0.44020640763007507
195,-0.13100813942453582,0.44017416675725884
196,-0.13103942057994816,0.4401428856018465
197,-0.1310697705596625,0.44011253562213215
198,-0.1310992170577151,0.44008308912407956
199,-0.13112778694559246,0.4400545192362022
200,-0.1311555062966111,0.44002679988518356
